City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
2,Sinnamary,GF,80.94,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
3,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
5,Hamilton,US,85.21,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
12,Garowe,SO,84.9,scattered clouds,8.4054,48.4845,Curubo Hotel
13,Touros,BR,84.09,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
15,Berlin,DE,70.23,clear sky,52.5244,13.4105,Hotel Motel One Berlin-Hackescher Markt
26,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Victoria,HK,71.38,overcast clouds,22.2855,114.1577,Mini Central
29,Panama City,PA,89.38,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
30,Bandarbeyla,SO,82.62,clear sky,9.4942,50.8122,JABIR HOTEL
31,Arraial Do Cabo,BR,78.66,light rain,-22.9661,-42.0278,Pousada Porto Praia
32,Vila Do Maio,CV,88.59,broken clouds,15.1333,-23.2167,Hotel Marilu
33,Hooksett,US,79.32,broken clouds,43.0967,-71.4651,Eagle's Nest Motor Lodge
34,Tabuk,PH,76.98,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
37,Marsaxlokk,MT,73.08,clear sky,35.8419,14.5431,Water's Edge
41,Sur,OM,84.67,clear sky,22.5667,59.5289,Sur Plaza Hotel
42,Livramento,BR,81.27,broken clouds,-3.0254,-60.1803,Refúgio Samauma
43,Carutapera,BR,84.52,overcast clouds,-1.195,-46.02,Lidera
45,Quelimane,MZ,71.55,few clouds,-17.8786,36.8883,Hotel Flamingo
46,Laguna,US,84.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
49,Banda Aceh,ID,81.75,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
50,San Pedro,PH,79.83,light rain,14.35,121.0167,Esquivel's Garden And Resort
57,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,Hotel do Campo
62,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
64,Montepuez,MZ,70.61,overcast clouds,-13.1256,38.9997,PembaAparthotel
67,Kirkland Lake,CA,77.29,broken clouds,48.1446,-80.0377,Comfort Inn
70,Jamestown,US,79.52,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
75,Omboue,GA,78.46,light rain,-1.5746,9.2618,Hotel Olako
76,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
78,Manta,EC,82.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
79,Saquarema,BR,78.84,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
80,Mitsamiouli,KM,80.82,scattered clouds,-11.3847,43.2844,Foyer ADM
92,Bengkulu,ID,77.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
