City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Souillac,MU,-20.5167,57.5167,73.78,94,40,5.75,light rain
1,Tasiilaq,GL,65.6145,-37.6368,32.16,97,100,24.18,snow
2,Sinnamary,GF,5.3833,-52.95,80.94,89,100,12.8,light rain
3,Georgetown,MY,5.4112,100.3354,82.33,89,20,2.3,few clouds
4,Port Alfred,ZA,-33.5906,26.891,62.19,90,23,11.43,few clouds
5,Hamilton,US,39.1834,-84.5333,85.21,51,0,3.44,clear sky
6,Soacha,CO,4.5794,-74.2168,67.89,52,40,10.36,scattered clouds
7,Viedma,AR,-40.8135,-62.9967,55.6,67,100,23.22,overcast clouds
8,Torbay,CA,47.6666,-52.7314,40.26,81,75,17.27,broken clouds
9,Qaanaaq,GL,77.484,-69.3632,26.47,57,100,3.11,overcast clouds
10,Saldanha,ZA,-33.0117,17.9442,60.85,70,0,11.52,clear sky
11,Longyearbyen,SJ,78.2186,15.6401,30.04,69,75,3.44,broken clouds
12,Garowe,SO,8.4054,48.4845,84.9,45,41,22.79,scattered clouds
13,Touros,BR,-5.1989,-35.4608,84.09,68,100,11.81,overcast clouds
14,Jumla,NP,29.2747,82.1838,55.11,76,37,3.96,scattered clouds
15,Berlin,DE,52.5244,13.4105,70.23,45,0,8.01,clear sky
16,Huallanca,PE,-9.8993,-76.9417,60.01,46,54,7.78,broken clouds
17,Bredasdorp,ZA,-34.5322,20.0403,56.7,92,0,5.03,clear sky
18,Orange Walk,BZ,17.8333,-88.8333,96.78,31,12,3.49,few clouds
19,Nara,JP,34.6851,135.8049,59.5,55,100,1.66,overcast clouds
20,Busselton,AU,-33.65,115.3333,52.84,81,74,6.13,broken clouds
21,Port Elizabeth,ZA,-33.918,25.5701,66.49,87,0,9.22,clear sky
22,Cape Town,ZA,-33.9258,18.4232,63.12,77,0,5.75,clear sky
23,Clocolan,ZA,-28.9137,27.5656,53.01,35,0,3.69,clear sky
24,Kanye,BW,-24.9667,25.3327,62.98,35,18,5.41,few clouds
25,Ushuaia,AR,-54.8,-68.3,46.06,66,20,3.44,few clouds
26,Saint-Philippe,RE,-21.3585,55.7679,71.19,81,36,10.98,scattered clouds
27,Victoria,HK,22.2855,114.1577,71.38,88,100,15.01,overcast clouds
28,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,100,12.66,overcast clouds
29,Panama City,PA,8.9936,-79.5197,89.38,69,40,8.05,scattered clouds
