City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Isangel,-19.55,169.2667,80.83,70,5,11.77,VU,2022-05-06 00:13:00
1,New Norfolk,-42.7826,147.0587,53.1,89,94,1.99,AU,2022-05-06 00:13:00
2,Natal,-5.795,-35.2094,77.65,100,75,4.61,BR,2022-05-06 00:13:01
3,Beringovskiy,63.05,179.3167,28.9,73,19,1.59,RU,2022-05-06 00:13:01
4,Nhulunbuy,-12.2333,136.7667,82.04,74,99,15.73,AU,2022-05-06 00:13:02
5,San Vicente,-26.6167,-54.1333,53.11,97,0,3.06,AR,2022-05-06 00:13:03
6,Sao Filipe,14.8961,-24.4956,72.21,82,24,4.72,CV,2022-05-06 00:13:03
7,Bredasdorp,-34.5322,20.0403,56.82,94,11,4.63,ZA,2022-05-06 00:13:04
8,Punta Arenas,-53.15,-70.9167,42.91,70,75,34.52,CL,2022-05-06 00:12:34
9,Sahuaripa,29.05,-109.2333,95.95,9,0,8.68,MX,2022-05-06 00:13:04
10,Kenai,60.5544,-151.2583,57.02,72,100,11.5,US,2022-05-06 00:13:05
11,Dudinka,69.4058,86.1778,15.62,91,100,18.72,RU,2022-05-06 00:13:06
12,Port Lincoln,-34.7333,135.8667,58.23,52,96,9.8,AU,2022-05-06 00:11:59
13,Vaini,-21.2,-175.2,80.76,78,75,9.22,TO,2022-05-06 00:13:06
14,Bluff,-46.6,168.3333,57.96,76,83,6.82,NZ,2022-05-06 00:13:07
15,Albany,42.6001,-73.9662,63.01,52,100,4.07,US,2022-05-06 00:13:08
16,Norman Wells,65.282,-126.8329,39.04,68,100,10.38,CA,2022-05-06 00:13:08
17,Kapaa,22.0752,-159.319,82.38,78,100,13.8,US,2022-05-06 00:13:09
18,Alta Floresta,-9.8756,-56.0861,72.79,90,81,1.77,BR,2022-05-06 00:13:10
19,Rikitea,-23.1203,-134.9692,78.06,83,43,16.17,PF,2022-05-06 00:13:10
20,Nenjiang,49.1833,125.2167,43.5,73,100,12.95,CN,2022-05-06 00:13:11
21,Chokurdakh,70.6333,147.9167,26.31,92,100,8.68,RU,2022-05-06 00:13:11
22,Mataura,-46.1927,168.8643,62.2,62,62,2.21,NZ,2022-05-06 00:13:12
23,Lasa,46.6166,10.7002,47.35,94,100,2.3,IT,2022-05-06 00:13:12
24,Westport,41.1415,-73.3579,64.69,50,0,6.91,US,2022-05-06 00:13:13
25,Clyde River,70.4692,-68.5914,16.52,90,83,2.21,CA,2022-05-06 00:13:13
26,Yellowknife,62.456,-114.3525,53.56,50,40,10.0,CA,2022-05-06 00:09:02
27,Hilo,19.7297,-155.09,85.28,86,100,4.61,US,2022-05-06 00:13:14
28,Iqaluit,63.7506,-68.5145,12.31,86,8,10.31,CA,2022-05-06 00:13:15
29,Cape Town,-33.9258,18.4232,59.11,89,20,1.95,ZA,2022-05-06 00:12:13
30,Tuktoyaktuk,69.4541,-133.0374,31.75,94,100,12.97,CA,2022-05-06 00:13:15
31,Puerto Ayora,-0.7393,-90.3518,73.72,92,100,8.19,EC,2022-05-06 00:13:16
32,Barrow,71.2906,-156.7887,17.62,79,100,16.11,US,2022-05-06 00:10:01
33,Victoria,22.2855,114.1577,78.85,79,23,10.0,HK,2022-05-06 00:11:52
34,Luderitz,-26.6481,15.1594,62.24,63,0,4.9,NA,2022-05-06 00:13:16
35,Khatanga,71.9667,102.5,19.6,87,43,14.61,RU,2022-05-06 00:13:17
36,Camacha,33.0833,-16.3333,60.22,77,40,10.36,PT,2022-05-06 00:13:17
37,Nurpur,29.15,78.4167,78.8,37,0,3.47,IN,2022-05-06 00:13:18
38,Busselton,-33.65,115.3333,54.77,64,0,12.03,AU,2022-05-06 00:13:18
39,Port Hardy,50.6996,-127.4199,45.09,85,100,9.75,CA,2022-05-06 00:13:19
40,Cockburn Town,21.4612,-71.1419,77.97,79,58,19.33,TC,2022-05-06 00:13:19
41,Saint-Philippe,-21.3585,55.7679,74.79,86,69,15.5,RE,2022-05-06 00:13:20
42,Talnakh,69.4865,88.3972,15.21,91,99,11.77,RU,2022-05-06 00:13:21
43,Esperance,-33.8667,121.9,57.72,69,34,8.81,AU,2022-05-06 00:13:21
